,Unnamed: 0,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
2432,29979,disneyland,"T440 Amusement, Water & Theme Parks",0,1,0,0,0,4,3,1,2,0,10,1,0,0,2,0
1784,25289,ditkas,G323 Casual Dining Restaurants,0,0,0,1,0,0,2,1,3,0,6,1,0,0,1,0
687,11539,diveheart,"B322 Religious, Charitable & Humanitarian",0,1,0,0,0,1,4,1,2,0,9,1,0,0,3,0
835,18586,dixie,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,0,3,1,1,1,5,0,0,0,2,0
18,77,dkny,A141 Sportswear & Athleticwear,0,0,0,0,0,2,0,1,2,1,4,0,0,0,1,0
457,3723,dmm,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,0,1,1,0,3,0,0,0,0,0
90,364,dockers,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,1,2,0,7,1,0,0,1,1
786,16669,doctors,"B641 TV Networks, Stations & Production Cos",0,0,0,1,0,1,2,1,2,0,7,1,0,0,0,2
1568,24057,dole,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,0,0,1,2,1,1,1,4,0,0,0,1,1
91,367,dolfin,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,1,1,0,6,1,0,0,1,1
764,16217,domaintools,"B541 Web Design, Domain & Hosting Services",0,0,0,1,0,3,5,1,2,0,11,1,0,0,1,2
2244,27310,domondo,H625 Security & Fire Safety Systems,0,0,0,0,0,2,3,1,2,1,7,0,0,0,0,3
1886,25949,donek,"G451 Snow Skis, Boards, Blades & Accessories",0,1,0,0,0,1,2,1,2,0,5,0,0,0,1,1
1573,24076,donsuemor,F343 Cookies & Crackers,0,0,1,0,0,3,4,1,1,0,9,1,0,0,1,3
2111,26853,doodlefish,H142 Bedding & Linens,0,0,0,1,0,1,4,1,2,0,10,2,0,0,2,1
2245,27311,doorking,H625 Security & Fire Safety Systems,0,1,1,0,0,2,3,1,3,0,8,0,0,0,1,1
2246,27312,dormakaba,H625 Security & Fire Safety Systems,1,0,0,0,0,2,4,1,3,1,9,0,0,0,0,1
2247,27314,dortronics,H625 Security & Fire Safety Systems,0,0,0,1,0,3,3,1,2,0,10,1,0,0,1,2
1418,23594,doterra,D543 Nutritional Supplements,1,0,0,0,0,2,3,1,2,1,7,0,0,0,1,1
836,18596,dotmailer,"B651 Advertising, Marketing & Printing Svcs",0,0,1,0,0,3,4,1,2,0,9,0,0,0,2,1
1525,23956,dove,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,0,0,0,2,1,1,1,4,1,0,0,1,1
837,18601,dovepress,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,0,1,3,1,2,0,9,3,0,0,2,1
2112,26855,downlite,H142 Bedding & Linens,0,0,0,0,0,3,3,1,2,1,8,0,0,0,2,1
2113,26856,downtown,H142 Bedding & Linens,0,0,1,0,0,4,2,1,2,0,8,0,0,0,0,2
941,20651,draenert,B721 Office Furniture & Accessories,0,1,0,0,0,3,3,1,2,0,8,0,0,0,2,0
2248,27316,drager,H625 Security & Fire Safety Systems,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,0
1419,23597,dreambrands,D543 Nutritional Supplements,0,0,0,1,0,4,3,1,3,0,11,1,0,0,1,0
2036,26663,dreamcloud,H122 Mattresses & Box Springs,0,1,0,0,0,3,4,1,2,0,10,0,0,0,1,1
2114,26857,dreamfit,H142 Bedding & Linens,0,1,0,0,0,2,3,1,2,0,8,1,0,0,2,0
2037,26665,dreamland,H122 Mattresses & Box Springs,0,1,0,0,0,4,3,1,2,0,9,0,0,0,1,0
2363,27703,drikolor,H631 Paint,0,0,1,0,0,3,3,1,2,0,8,0,0,0,1,2
838,18610,drinktell,"B651 Advertising, Marketing & Printing Svcs",0,0,1,0,0,4,2,1,3,0,9,0,0,0,2,0
2364,27704,drylok,H631 Paint,0,1,0,0,0,3,1,1,2,0,6,0,0,0,0,1
1744,24939,dslrpros,G141 Cameras (Excl Video),0,0,0,1,0,3,1,1,2,0,8,2,0,0,0,1
609,8926,dstreet,B225 Internet Service Providers (ISP),0,1,0,0,0,1,2,1,3,0,7,1,0,0,1,0
2249,27317,dsx,H625 Security & Fire Safety Systems,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0
1059,21902,duduk,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,1,0,0,0,0,2,1,3,0,5,0,0,0,0,2
92,369,duer,A141 Sportswear & Athleticwear,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
1912,26016,duotone,G499 Sporting Goods General Promotion,0,0,0,0,0,1,4,1,2,1,7,0,0,0,1,3
2177,27048,duracell,H310 Household Batteries,0,0,1,0,0,3,3,1,1,0,8,0,0,0,1,1
2392,27801,duralast,T141 Automotive Batteries,0,1,0,0,0,2,3,1,2,0,8,1,0,0,0,1
1705,24693,dutchess,F611 Regular Beer & Ale,0,0,0,1,0,0,2,1,2,0,8,3,0,0,1,1
2375,27746,dutchmen,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",0,0,1,0,0,2,2,1,2,0,8,1,0,0,1,1
1594,24152,dux,F343 Cookies & Crackers,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1
2038,26666,duxiana,H122 Mattresses & Box Springs,1,0,0,0,0,1,4,1,1,1,7,0,0,0,1,1
1420,23600,dymatize,D543 Nutritional Supplements,0,0,0,0,0,2,3,1,2,1,8,1,0,0,2,0
2162,27019,dynaclean,H213 Laundry Equipment,0,0,1,0,0,4,3,1,1,0,9,0,0,0,1,0
765,16223,dynadot,"B541 Web Design, Domain & Hosting Services",0,1,0,0,0,2,2,1,3,0,7,0,0,0,0,1
2189,27098,dynarex,H339 Household Paper Products: Comb & NEC,0,0,0,0,0,3,2,1,1,0,7,0,0,0,1,0
839,18623,earny,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,3,2,0,0,1,5,0,1,0,2,0
610,8928,earthlink,B225 Internet Service Providers (ISP),0,1,0,0,0,3,3,0,2,0,9,1,1,0,2,0
787,16674,earthoteric,"B641 TV Networks, Stations & Production Cos",0,0,0,0,0,2,5,0,2,0,11,1,1,0,3,1
1251,22869,eas,D543 Nutritional Supplements,0,0,0,1,0,0,2,0,0,0,3,1,1,0,1,0
670,9191,eatel,B241 Cable TV Providers & Systems,0,0,1,0,0,1,3,0,1,0,5,0,1,0,2,0
349,1873,ebay,B111 Credit Cards,0,0,0,0,0,1,2,0,1,1,4,0,1,0,2,0
840,18632,ebrandz,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,0,2,2,0,2,0,7,1,1,0,1,0
223,1022,ecco,A321 Sneakers,0,0,0,0,0,0,2,0,0,1,4,0,1,0,1,1
379,2527,echarge,B111 Credit Cards,0,0,0,0,0,1,3,0,1,1,7,1,1,0,2,0
2039,26667,eclipse,H122 Mattresses & Box Springs,0,0,0,0,0,1,3,0,1,1,7,1,1,0,3,0
1459,23770,ecostick,F113 Artificial Sweeteners,0,1,0,0,0,0,3,0,2,0,8,1,1,0,2,1
1013,21094,edustaff,B913 Employment Agencies,0,0,0,1,0,0,3,0,2,0,8,3,1,0,1,1
550,7460,edvesinu,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,1,4,0,1,1,8,2,1,0,3,1
392,2767,edvest,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,0,2,0,2,0,6,2,1,0,2,0
2250,27320,edwards,H625 Security & Fire Safety Systems,0,0,0,1,0,2,2,0,2,0,7,1,1,0,1,0
1526,23957,edys,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,1,0,1,1,0,1,0,4,1,1,0,1,0
1145,22400,efferdent,D211 Toothpaste & Whiteners,0,1,0,0,0,2,3,0,2,0,9,2,1,0,3,0
1421,23602,effihealth,D543 Nutritional Supplements,0,0,0,1,0,1,4,0,1,0,10,3,1,0,3,0
1014,21095,efinancialcareers,B913 Employment Agencies,0,0,0,1,0,5,8,0,0,0,17,2,1,0,4,0
2336,27593,egeetouch,H625 Security & Fire Safety Systems,0,0,0,1,0,0,5,0,2,0,9,1,1,0,2,1
2040,26670,eight,H122 Mattresses & Box Springs,0,1,0,0,0,0,2,0,2,0,5,0,1,0,1,0
1422,23603,ejaculoid,D543 Nutritional Supplements,0,1,0,0,0,1,5,0,1,0,9,1,1,0,2,2
1887,25951,elan,"G451 Snow Skis, Boards, Blades & Accessories",0,0,1,0,0,2,2,0,0,0,4,0,1,0,1,0
1015,21098,elance,B913 Employment Agencies,0,0,0,0,0,2,3,0,0,1,6,0,1,0,2,0
766,16227,elastichosts,"B541 Web Design, Domain & Hosting Services",0,0,0,1,0,1,4,0,2,0,12,4,1,0,2,1
1838,25782,elaztech,G411 Fishing Tackle & Equipment,0,0,0,1,0,1,3,0,1,0,8,2,1,0,2,0
2407,27888,electra,T412 Cruise Ship Travel,1,0,0,0,0,2,3,0,1,1,7,0,1,0,2,0
2163,27020,electrolux,H213 Laundry Equipment,0,0,0,0,0,3,4,0,1,0,10,0,1,0,2,2
788,16677,elementary,"B641 TV Networks, Stations & Production Cos",0,0,0,0,0,5,4,0,1,1,10,0,1,0,4,0
1060,21903,elemis,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,1,0,2,3,0,0,0,6,1,1,0,3,0
517,5347,elend,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,2,2,0,1,0,5,0,1,0,2,0
570,8045,elevate,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,1,4,0,1,1,7,1,1,0,3,0
1098,22038,elf,"D149 Face Makeup, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,1,0,1,1,0,0,0,3,1,1,0,1,0
1252,22872,eliteops,D543 Nutritional Supplements,0,0,0,1,0,1,4,0,2,0,8,1,1,0,3,1
1253,22873,elixinol,D543 Nutritional Supplements,0,0,1,0,0,3,4,0,0,0,8,0,1,0,3,1
311,1499,elle,A430 Sunglasses,0,0,0,0,0,2,2,0,0,1,4,0,1,0,2,0
224,1023,ellesse,A321 Sneakers,0,0,0,0,0,2,3,0,0,1,7,2,1,0,3,0
458,3742,ellevest,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,3,0,1,0,8,2,1,0,3,0
551,7463,eloan,B124 Loan/Credit Products & Services (Consumer),0,0,1,0,0,2,3,0,0,0,5,0,1,0,1,1
1061,21907,ely,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,0,0,2,1,0,0,1,3,0,1,0,2,0
1717,24800,elysian,F611 Regular Beer & Ale,0,0,1,0,0,3,3,0,0,0,7,1,1,0,2,0
1423,23605,elysium,D543 Nutritional Supplements,0,0,1,0,0,3,3,0,0,0,7,1,1,0,2,1
2251,27323,emed,H625 Security & Fire Safety Systems,0,1,0,0,0,1,2,0,1,0,4,0,1,0,2,0
841,18653,emedco,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,3,0,1,1,6,0,1,0,2,1
1785,25298,emerils,G323 Casual Dining Restaurants,0,0,0,1,0,3,3,0,0,0,7,1,1,0,3,0
842,18654,emerse,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,3,0,0,1,6,1,1,0,3,0
843,18656,emg,"B651 Advertising, Marketing & Printing Svcs",0,1,0,0,0,1,1,0,1,0,3,0,1,0,1,0
1254,22880,emotiquell,D543 Nutritional Supplements,0,0,1,0,0,3,5,0,1,0,10,0,1,0,3,2
1574,24079,emperador,F343 Cookies & Crackers,0,0,1,0,0,3,4,0,2,0,9,0,1,0,2,1
2115,26862,encapsys,H142 Bedding & Linens,0,0,0,1,0,2,2,0,1,0,8,2,1,0,1,0
1255,22881,endoca,D543 Nutritional Supplements,1,0,0,0,0,1,3,0,1,1,6,0,1,0,1,1
19,78,endura,A141 Sportswear & Athleticwear,1,0,0,0,0,2,3,0,1,1,6,0,1,0,1,1
2178,27055,energizer,H310 Household Batteries,0,0,1,0,0,3,4,0,1,0,9,1,1,0,4,0
1424,23610,enervit,D543 Nutritional Supplements,0,1,0,0,0,2,3,0,1,0,7,1,1,0,3,0
1256,22882,enfagrow,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,0,8,1,1,0,1,1
2041,26672,englander,H122 Mattresses & Box Springs,0,0,1,0,0,4,3,0,2,0,9,0,1,0,2,0
225,1025,enko,A321 Sneakers,0,0,0,0,0,1,2,0,1,1,4,0,1,0,1,1
1527,23960,enlightened,"F313 Ice Cream, Frozen Novelties & Sherbet",0,1,0,0,0,3,4,0,3,0,11,0,1,0,4,0
2042,26674,enso,H122 Mattresses & Box Springs,0,0,0,0,0,1,2,0,0,1,4,1,1,0,1,1
1575,24080,entenmanns,F343 Cookies & Crackers,0,0,0,1,0,5,3,0,1,0,10,1,1,0,2,0
1257,22888,enu,D543 Nutritional Supplements,0,0,0,0,0,1,2,0,0,1,3,0,1,0,1,1
459,3745,envion,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,3,0,0,0,6,1,1,0,2,1
745,15932,envisiontec,B521 Printers & Printing Accessories,0,0,0,0,0,2,5,0,1,0,11,2,1,0,4,1
698,13467,envolve,B430 Insurance Agencies & Brokers,0,0,0,0,0,2,3,0,0,1,7,2,1,0,2,1
985,20778,envypak,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,1,0,0,0,2,2,0,2,0,7,1,1,0,1,0
1486,23838,enzo,F122 Cooking Oils,0,0,0,0,0,1,2,0,0,1,4,1,1,0,1,1
1258,22889,enzymedica,D543 Nutritional Supplements,1,0,0,0,0,3,4,0,1,1,10,1,1,0,3,0
434,3382,eoption,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,1,4,0,2,0,7,0,1,0,2,2
734,15893,eos,B521 Printers & Printing Accessories,0,0,0,1,0,0,2,0,0,0,3,1,1,0,1,1
2190,27099,epackagesupply,H339 Household Paper Products: Comb & NEC,0,0,0,0,0,2,5,0,5,1,14,1,1,0,3,1
1187,22585,epic,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,1,0,4,0,1,0,2,0
1259,22891,epicor,D543 Nutritional Supplements,0,0,1,0,0,1,3,0,1,0,6,0,1,0,2,1
1260,22892,epiq,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,1,0,4,0,1,0,2,0
611,8931,epix,B225 Internet Service Providers (ISP),0,0,0,0,0,0,2,0,1,0,4,0,1,0,2,0
746,15933,epson,B521 Printers & Printing Accessories,0,0,1,0,0,1,2,0,1,0,5,1,1,0,1,1
460,3746,eqeus,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,0,3,0,0,0,5,1,1,0,2,1
571,8054,equifax,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,0,4,0,0,0,7,1,1,0,2,1
1261,22893,esi,D543 Nutritional Supplements,0,0,0,0,0,0,2,0,0,1,3,1,1,0,2,0
699,13481,esl,B430 Insurance Agencies & Brokers,0,0,1,0,0,1,1,0,0,0,3,1,1,0,1,0
572,8058,esp,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,0,1,0,1,0,3,1,1,0,1,0
2422,28665,espresso,T421 Travel Services,0,0,0,0,0,1,3,0,1,1,8,3,1,0,2,1
312,1503,ess,A430 Sunglasses,0,0,0,1,0,0,1,0,0,0,3,2,1,0,1,0
2043,26675,essentia,H122 Mattresses & Box Springs,1,0,0,0,0,1,4,0,1,1,8,2,1,0,3,0
1262,22895,essentials,D543 Nutritional Supplements,0,0,0,1,0,2,4,0,1,0,10,3,1,0,3,0
1706,24695,estrella,F611 Regular Beer & Ale,1,0,0,0,0,3,3,0,1,1,8,1,1,0,2,0
1263,22896,estroven,D543 Nutritional Supplements,0,0,1,0,0,2,3,0,1,0,8,2,1,0,2,1
362,2307,ethereum,B111 Credit Cards,0,0,1,0,0,2,4,0,1,0,8,1,1,0,3,1
273,1364,etro,A411 Handbags,0,0,0,0,0,1,2,0,1,1,4,0,1,0,1,1
1062,21911,eucerin,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,1,0,0,2,4,0,0,0,7,0,1,0,3,1
2252,27326,eufy,H625 Security & Fire Safety Systems,0,0,0,0,0,1,2,0,0,1,4,1,1,0,2,1
1125,22270,euroitalia,"D189 Fragrances, General Promotion/Multi-Category/Corporate/Sponsorship",1,0,0,0,0,2,7,0,1,1,10,0,1,0,3,2
543,7009,everbank,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,2,3,0,2,0,8,1,1,0,2,0
393,2777,evergreen,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,0,1,0,9,1,1,0,3,0
1264,22900,evivo,D543 Nutritional Supplements,0,0,0,0,0,0,3,0,0,1,5,2,1,0,2,1
1063,21915,evocell,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,1,0,0,2,3,0,0,0,7,1,1,0,2,1
1265,22903,evogen,D543 Nutritional Supplements,0,0,1,0,0,1,3,0,1,0,6,1,1,0,2,1
844,18706,ewebresults,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,0,3,4,0,2,0,11,2,1,0,3,1
942,20656,excalibur,B721 Office Furniture & Accessories,0,0,1,0,0,2,4,0,1,0,9,0,1,0,2,1
1177,22550,excedrin,D511 Pain Remedies,0,0,1,0,0,2,3,0,1,0,8,0,1,0,3,0
1016,21126,experis,B913 Employment Agencies,0,0,0,1,0,1,3,0,1,0,7,1,1,0,3,0
1487,23839,extravagonzo,F122 Cooking Oils,0,0,0,0,0,2,5,0,2,1,12,2,1,0,1,2
374,2460,exxonmobil,B111 Credit Cards,0,0,1,0,0,3,4,0,1,0,10,0,1,0,2,2
1266,22906,eyepromise,D543 Nutritional Supplements,0,0,0,0,0,3,5,0,1,1,10,1,1,0,4,1
313,1504,eyezz,A430 Sunglasses,0,0,0,1,0,1,2,0,0,0,5,2,1,0,2,0
2253,27328,ezviz,H625 Security & Fire Safety Systems,0,0,0,1,0,0,2,0,0,0,5,3,1,0,2,0
1017,21138,ezzely,B913 Employment Agencies,0,0,0,0,0,2,2,0,0,1,6,2,1,0,3,0
2207,27165,fabuloso,H432 Multipurpose Cleaners (Cleansers),0,0,0,0,1,1,4,0,1,1,8,2,0,0,0,3
1099,22041,faces,"D149 Face Makeup, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,1,1,0,2,0,0,0,5,2,0,0,1,0
2393,27802,fahrenheit,T141 Automotive Batteries,0,1,0,0,1,2,4,0,1,0,10,1,0,0,2,0
1939,26072,fanatec,G511 Elec & Video Games & Sftwr (Excl PC&Net),0,0,0,0,1,1,3,0,1,0,7,1,0,0,1,0
1064,21916,farmacy,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,0,1,3,2,0,0,1,7,1,0,0,1,0
1511,23896,farmtrue,F280 Peanut Butter & Sandwich Spreads,0,0,0,0,1,3,3,0,1,1,8,1,0,0,1,1
845,18734,fastballoons,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,1,3,4,0,2,0,12,3,0,0,0,1
943,20657,fastcubes,B721 Office Furniture & Accessories,0,0,0,1,1,0,3,0,2,0,9,3,0,0,1,1
846,18736,fastsigns,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,1,1,2,0,2,0,9,4,0,0,1,0
573,8084,fastunsecured,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,1,2,5,0,2,0,13,3,0,0,2,2
1769,25137,fazolis,G323 Casual Dining Restaurants,0,0,0,1,1,1,3,0,0,0,7,3,0,0,1,1
944,20658,fb,B721 Office Furniture & Accessories,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0
1267,22908,fdgard,D543 Nutritional Supplements,0,1,0,0,1,1,1,0,3,0,6,1,0,0,0,0
2376,27749,featherlite,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",0,0,0,0,1,2,5,0,2,1,11,2,0,0,4,0
176,781,feelgoodz,A311 Womens Shoes & Boots,0,0,0,1,1,1,4,0,2,0,9,2,0,0,1,1
945,20659,fellowes,B721 Office Furniture & Accessories,0,0,0,1,1,3,3,0,0,0,8,2,0,0,2,1
274,1365,fendi,A411 Handbags,0,0,0,0,1,1,2,0,1,1,5,1,0,0,2,0
1913,26018,fenwick,G499 Sporting Goods General Promotion,0,1,0,0,1,2,2,0,1,0,7,1,0,0,2,0
700,13558,fetcharate,B430 Insurance Agencies & Brokers,0,0,0,0,1,1,4,0,2,1,10,2,0,0,2,0
518,5402,fhlbanks,B124 Loan/Credit Products & Services (Consumer),0,0,0,1,1,2,1,0,2,0,8,2,0,0,0,0
394,2781,fidelity,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,2,3,0,2,1,8,1,0,0,4,0
1986,26527,fiesta,"H111 Dinnerware, Glassware & Pottery",1,0,0,0,1,0,3,0,1,1,6,2,0,0,1,0
20,82,fila,A141 Sportswear & Athleticwear,1,0,0,0,1,1,2,0,0,1,4,1,0,0,1,0
93,387,filson,A141 Sportswear & Athleticwear,0,0,1,0,1,2,2,0,0,0,6,2,0,0,1,1
461,3767,finect,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,1,2,0,1,0,6,1,0,0,2,0
462,3768,finhabits,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,1,3,0,2,0,9,2,0,0,2,0
1425,23614,finitro,D543 Nutritional Supplements,0,0,0,0,1,2,3,0,1,1,7,1,0,0,2,1
2198,27133,fiora,H339 Household Paper Products: Comb & NEC,1,0,0,0,1,1,3,0,0,1,5,1,0,0,1,1
1488,23841,fiore,F122 Cooking Oils,0,0,0,0,1,1,3,0,0,1,5,1,0,0,2,1
2217,27198,fireavert,H625 Security & Fire Safety Systems,0,1,0,0,1,2,4,0,1,0,9,2,0,0,3,0
2337,27596,firefly,H625 Security & Fire Safety Systems,0,0,0,0,1,3,2,0,0,1,7,2,0,0,3,0
612,8939,firefox,B225 Internet Service Providers (ISP),0,0,0,0,1,1,3,0,0,0,7,2,0,0,2,1
2354,27668,fireking,H625 Security & Fire Safety Systems,0,1,1,0,1,2,3,0,2,0,8,1,0,0,3,0
2218,27200,firetrace,H625 Security & Fire Safety Systems,0,0,0,0,1,2,4,0,1,1,9,1,0,0,3,0
613,8941,firstlight,B225 Internet Service Providers (ISP),0,1,0,0,1,2,2,0,3,0,10,2,0,0,2,0
1839,25783,firstrike,G411 Fishing Tackle & Equipment,0,0,0,0,1,2,3,0,2,1,9,2,0,0,3,0
1840,25784,fishsticks,G411 Fishing Tackle & Equipment,0,0,0,1,1,0,2,0,2,0,10,4,0,0,2,0
177,783,fitflop,A311 Womens Shoes & Boots,0,1,0,0,1,1,2,0,2,0,7,2,0,0,1,1
21,83,flagpole,A141 Sportswear & Athleticwear,0,0,0,0,1,2,3,0,2,1,8,1,0,0,1,1
2408,27895,flagship,T412 Cruise Ship Travel,0,1,0,0,1,1,2,0,2,0,8,2,0,0,1,0
1841,25785,flambeau,G411 Fishing Tackle & Equipment,0,0,0,0,1,2,4,0,1,1,8,1,0,0,1,1
1168,22513,flanax,D511 Pain Remedies,0,0,0,0,1,2,2,0,0,0,6,1,0,0,0,0
847,18762,flashbay,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,1,2,2,0,1,1,8,2,0,0,1,0
946,20662,flexispot,B721 Office Furniture & Accessories,0,1,0,0,1,1,3,0,2,0,9,2,0,0,2,1
1169,22515,flexoplex,D511 Pain Remedies,0,0,0,0,1,2,3,0,1,0,9,1,0,0,2,1
1956,26409,flipazoo,G541 Stuffed Toys,0,0,0,0,1,1,4,0,1,1,8,2,0,0,1,1
1725,24844,flir,G141 Cameras (Excl Video),0,0,1,0,1,2,1,0,0,0,4,1,0,0,1,0
1268,22921,florastor,D543 Nutritional Supplements,0,0,1,0,1,3,3,0,1,0,9,2,0,0,0,2
1745,24947,fluke,G141 Cameras (Excl Video),0,0,0,0,1,1,2,0,1,1,5,1,0,0,1,1
1426,23616,flyte,D543 Nutritional Supplements,0,0,0,0,1,2,1,0,1,1,5,1,0,0,1,0
315,1506,foldies,A430 Sunglasses,0,0,0,1,1,1,3,0,1,0,7,2,0,0,1,1
1609,24242,folgers,F411 Coffee,0,0,0,1,1,2,2,0,1,0,7,2,0,0,1,1
614,8943,fonoma,B225 Internet Service Providers (ISP),1,0,0,0,1,2,3,0,0,1,6,1,0,0,0,2
375,2463,foodiecards,B111 Credit Cards,0,0,0,1,1,1,5,0,2,0,11,2,0,0,1,1
463,3782,forex,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,1,2,0,0,0,5,1,0,0,1,1
735,15895,formlabs,B521 Printers & Printing Accessories,0,0,0,1,1,3,2,0,1,0,8,2,0,0,0,1
1842,25787,frabill,G411 Fishing Tackle & Equipment,0,0,1,0,1,3,2,0,1,0,7,1,0,0,1,0
1770,25138,francescas,G323 Casual Dining Restaurants,0,0,0,1,1,2,3,0,0,0,10,3,0,0,1,0
986,20783,frankfort,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,1,0,0,1,3,2,0,2,0,9,2,0,0,0,1
987,20784,fraser,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,0,1,0,1,2,2,0,0,0,6,2,0,0,1,0
615,8944,freedompop,B225 Internet Service Providers (ISP),0,1,0,0,1,2,4,0,3,0,10,1,0,0,1,2
848,18797,freeman,"B651 Advertising, Marketing & Printing Svcs",0,0,1,0,1,3,3,0,0,0,7,1,0,0,1,0
275,1372,fregoli,A411 Handbags,0,0,0,0,1,2,3,0,1,1,7,1,0,0,2,1
789,16779,fremantlemedia,"B641 TV Networks, Stations & Production Cos",1,0,0,0,1,5,6,0,2,1,14,1,0,0,4,0
1969,26438,freshpet,G613 Cat & Dog Food Combination,0,1,0,0,1,1,2,0,2,0,8,2,0,0,2,0
1786,25315,frickers,G323 Casual Dining Restaurants,0,0,0,1,1,2,2,0,1,0,8,2,0,0,2,0
1528,23963,friendlys,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,1,1,4,2,0,1,0,9,2,0,0,1,0
849,18808,friesenpress,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,1,3,4,0,1,0,12,4,0,0,3,0
1558,24030,fritz,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,1,1,1,1,0,1,0,5,2,0,0,1,0
1529,23964,froozer,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,1,0,1,2,3,0,0,0,7,2,0,0,1,1
1269,22932,frs,D543 Nutritional Supplements,0,0,0,1,1,1,0,0,0,0,3,2,0,0,0,0
1559,24032,fruitfull,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,1,0,1,3,3,0,1,0,9,2,0,0,1,2
276,1373,frye,A411 Handbags,0,0,0,0,1,2,1,0,0,1,4,1,0,0,1,0
1489,23843,frymax,F122 Cooking Oils,0,0,0,0,1,3,1,0,0,0,6,1,0,0,0,0
178,792,fuchsia,A311 Womens Shoes & Boots,1,0,0,0,1,0,3,0,0,1,7,3,0,0,1,1
1788,25318,fuddruckers,G323 Casual Dining Restaurants,0,0,0,1,1,2,3,0,3,0,11,2,0,0,1,2
