Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
simulmedia,"B651 Advertising, Marketing & Printing Svcs",,,,1:01,,,,https://www.simulmedia.com/,
teknion,B721 Office Furniture & Accessories,,,,2:00,,,,https://www.teknion.com/,
merlin,B913 Employment Agencies,,,,0:01,,,,https://merlinjobs.com/,
tmc,B913 Employment Agencies,,,,1:00,,,,https://tmc-employeneurship.com/careers,
roc,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:02,,,,https://www.rocskincare.com/,
dermacare,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:06,,,,https://www.dermacare.com/,
garnier,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:05,,,,https://www.garnierusa.com/,
vaseline,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.vaseline.com/ca/en,
gojo,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,4:05,,,,https://www.gojo.com/en/,
chamonix,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:08,,,,https://www.betterskintoday.com/,
palmers,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://ca.palmers.com/,
jergens,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.jergens.com/en-ca/,
elemis,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,1:12,,,,https://www.elemis.com/us/?redirect=yes,
ponds,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.ponds.com/us/en/home.html,
neostrata,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:02,,,,https://www.neostrata.com/,
tula,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.tula.com/,
mederma,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:02,,,,https://www.mederma.com/,
biore,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:04,,,,https://www.biore.com/en-us/,
caudalie,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:04,,,,https://us.caudalie.com/,
aveeno,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:09,,,,https://www.aveeno.com/,
skinceuticals,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.skinceuticals.ca/,
weleda,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:04,,,,https://www.weleda.com/,
naturopathica,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.naturopathica.com/,
neutrogena,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.neutrogena.com/,
clinique,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:06,,,,https://www.clinique.com/,
clarins,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.clarinsusa.com/on/demandware.store/Sites-clarinsus-Site/en_US,
